lead_id,sentiment,urgency,objection,product_interest
L00006,Neutral,Medium,None,AIF
L00008,Neutral,Low,None,SIP
L00003,Neutral,Medium,None,AIF
L00002,Neutral,Low,None,AIF
L00001,Neutral,Medium,Trust,SIP
L00005,Positive,High,None,SIP
L00007,Positive,High,None,PMS
L00004,Neutral,Low,Trust,AIF
L00012,Neutral,Low,None,Unclear
L00013,Neutral,Low,Trust,SIP
L00009,Neutral,Low,None,MF
L00011,Negative,Low,Timing,Unclear
L00010,Neutral,Medium,Timing,MF
L00014,Neutral,Low,None,Unclear
L00016,Positive,Low,None,MF
L00015,Neutral,Low,None,AIF
L00018,Neutral,Low,None,SIP
L00020,Neutral,Medium,Competitor,SIP
L00021,Neutral,Low,Trust,SIP
L00022,Neutral,Low,Competitor,SIP
L00023,Negative,High,Pricing,MF
L00017,Neutral,Low,Timing,SIP
L00019,Neutral,Low,Timing,PMS
L00025,Neutral,Low,None,PMS
L00024,Neutral,Low,Timing,Unclear
L00029,Neutral,Medium,Timing,SIP
L00026,Neutral,Low,Competitor,SIP
L00027,Neutral,High,None,Unclear
L00028,Neutral,High,None,Unclear
L00030,Neutral,Medium,None,SIP
L00032,Neutral,Low,Competitor,SIP
L00033,Positive,Medium,None,SIP
L00031,Positive,Medium,None,PMS
L00034,Positive,High,None,SIP
L00038,Positive,Low,None,PMS
L00037,Positive,High,None,PMS
L00035,Neutral,Low,None,SIP
L00040,Positive,Medium,None,MF
L00041,Neutral,Low,Timing,SIP
L00036,Neutral,Medium,None,SIP
L00039,Positive,High,None,MF
L00042,Neutral,Low,None,MF
L00044,Neutral,Low,None,SIP
L00046,Positive,High,None,Unclear
L00043,Neutral,Medium,None,Unclear
L00045,Positive,High,None,PMS
L00047,Neutral,High,Pricing,PMS
L00048,Positive,Low,None,PMS
L00049,Neutral,Medium,Timing,MF
L00050,Negative,Low,Competitor,Unclear
L00052,Neutral,Medium,None,Unclear
L00053,Neutral,Low,Timing,SIP
L00051,Negative,Low,Pricing,Unclear
L00055,Neutral,Low,None,Unclear
L00057,Neutral,Medium,None,SIP
L00054,Neutral,Low,None,Unclear
L00056,Neutral,High,None,PMS
L00062,Neutral,Low,None,SIP
L00059,Positive,High,None,AIF
L00060,Negative,Medium,Pricing,SIP
L00058,Positive,High,None,SIP
L00061,Neutral,Low,None,MF
L00065,Neutral,Low,None,SIP
L00063,Neutral,Low,None,MF
L00070,Positive,High,None,PMS
L00067,Neutral,Low,None,MF
L00066,Neutral,Low,None,SIP
L00064,Positive,Medium,None,PMS
L00069,Neutral,Low,None,PMS
L00068,Neutral,Low,Timing,Unclear
L00072,Neutral,Medium,Timing,MF
L00073,Neutral,Low,None,AIF
L00075,Neutral,Low,None,SIP
L00076,Neutral,Low,None,MF
L00078,Neutral,Low,None,MF
L00071,Positive,High,None,MF
L00077,Positive,High,None,SIP
L00074,Positive,High,None,SIP
L00079,Neutral,Medium,Competitor,SIP
L00081,Positive,Medium,None,SIP
L00085,Neutral,Low,None,AIF
L00082,Positive,High,None,SIP
L00080,Neutral,Low,None,Unclear
L00086,Neutral,High,None,SIP
L00083,Positive,High,None,SIP
L00084,Positive,High,None,MF
L00087,Positive,Low,None,Unclear
L00088,Positive,High,None,PMS
L00094,Neutral,Low,None,SIP
L00089,Neutral,Low,None,SIP
L00090,Positive,Medium,None,SIP
L00091,Positive,Low,None,SIP
L00092,Positive,High,None,MF
L00093,Negative,Low,Pricing,MF
L00095,Negative,High,Pricing,Unclear
L00100,Positive,High,None,Unclear
L00101,Neutral,Medium,Timing,PMS
L00102,Neutral,Low,None,SIP
L00098,Neutral,Low,None,SIP
L00097,Neutral,Low,None,MF
L00099,Neutral,Low,None,SIP
L00096,Positive,High,None,PMS
L00103,Neutral,Low,None,AIF
L00106,Positive,High,None,PMS
L00105,Positive,Low,None,SIP
L00107,Neutral,Low,Trust,Unclear
L00108,Neutral,Low,None,SIP
L00104,Neutral,Low,Timing,SIP
L00110,Neutral,Medium,Pricing,MF
L00111,Neutral,High,None,SIP
L00109,Neutral,Low,None,SIP
L00112,Neutral,Low,None,SIP
L00116,Neutral,Low,Competitor,SIP
L00114,Neutral,Low,Trust,SIP
L00115,Neutral,Low,None,PMS
L00117,Positive,Low,None,MF
L00113,Positive,High,None,SIP
L00118,Neutral,Low,None,PMS
L00119,Neutral,Low,None,MF
L00120,Positive,Medium,None,SIP
L00122,Neutral,Low,None,PMS
L00123,Neutral,High,None,SIP
L00121,Neutral,High,Timing,SIP
L00125,Positive,Low,None,PMS
L00124,Neutral,Low,None,PMS
L00126,Positive,High,None,Unclear
L00127,Neutral,Low,None,MF
L00128,Neutral,Low,Timing,AIF
L00130,Neutral,Low,Timing,PMS
L00132,Neutral,Medium,Timing,Unclear
L00131,Neutral,Medium,Timing,Unclear
L00129,Neutral,Low,None,SIP
L00135,Positive,Medium,None,SIP
L00133,Neutral,Low,None,SIP
L00136,Neutral,Low,None,AIF
L00137,Neutral,Low,Pricing,SIP
L00134,Positive,Medium,None,SIP
L00138,Neutral,Low,None,SIP
L00139,Neutral,Low,None,SIP
L00140,Neutral,Low,Competitor,Unclear
L00141,Neutral,Low,None,SIP
L00142,Positive,High,None,Unclear
L00144,Neutral,Low,None,Unclear
L00143,Positive,Medium,None,SIP
L00146,Neutral,High,Competitor,SIP
L00145,Neutral,High,None,PMS
L00147,Neutral,Low,Trust,AIF
L00148,Neutral,High,None,AIF
L00151,Negative,Low,Timing,Unclear
L00150,Neutral,Low,None,MF
L00149,Positive,High,None,PMS
L00152,Negative,Low,Trust,AIF
L00153,Neutral,Medium,Timing,SIP
L00156,Neutral,Low,None,MF
L00155,Positive,High,None,Unclear
L00154,Neutral,Low,None,SIP
L00159,Neutral,Low,None,SIP
L00158,Positive,High,None,MF
L00160,Neutral,Medium,Trust,MF
L00157,Negative,High,Timing,Unclear
L00161,Negative,Low,Pricing,SIP
L00162,Negative,Medium,Pricing,MF
L00165,Neutral,Medium,Timing,SIP
L00166,Positive,Medium,None,AIF
L00164,Neutral,Low,Timing,AIF
L00167,Positive,Low,None,PMS
L00168,Neutral,Low,Timing,SIP
L00163,Neutral,Low,None,Unclear
L00170,Positive,Low,None,SIP
L00171,Neutral,Low,Competitor,AIF
L00169,Negative,Low,Pricing,SIP
L00175,Neutral,Low,Timing,SIP
L00172,Positive,High,None,SIP
L00173,Neutral,Low,None,SIP
L00177,Negative,Medium,Competitor,Unclear
L00174,Negative,Medium,Competitor,MF
L00178,Neutral,Medium,Competitor,SIP
L00181,Positive,Medium,None,AIF
L00179,Negative,Low,Pricing,MF
L00180,Positive,Low,None,MF
L00176,Positive,High,None,SIP
L00183,Neutral,Low,None,MF
L00182,Neutral,Low,None,Unclear
L00184,Neutral,Low,Pricing,Unclear
L00186,Positive,High,None,MF
L00185,Neutral,Low,None,SIP
L00189,Negative,Low,Pricing,MF
L00188,Neutral,Low,None,SIP
L00187,Neutral,Low,Competitor,Unclear
L00190,Neutral,Low,None,PMS
L00191,Neutral,Medium,None,SIP
L00195,Neutral,High,None,Unclear
L00196,Positive,High,None,Unclear
L00192,Neutral,Low,None,SIP
L00193,Positive,Low,None,PMS
L00194,Neutral,Low,None,SIP
L00198,Positive,Low,None,Unclear
L00199,Positive,High,None,SIP
L00197,Positive,High,None,SIP
L00200,Neutral,Low,None,MF
L00201,Neutral,Medium,Competitor,SIP
L00204,Neutral,Medium,Timing,MF
L00202,Positive,Low,None,Unclear
L00205,Positive,High,None,AIF
L00206,Neutral,Medium,None,SIP
L00203,Neutral,Medium,Timing,SIP
L00208,Neutral,Low,Competitor,SIP
L00211,Positive,Low,None,SIP
L00207,Neutral,Low,None,SIP
L00209,Positive,High,None,SIP
L00213,Negative,Low,Pricing,SIP
L00212,Positive,Medium,None,SIP
L00214,Positive,Low,None,MF
L00217,Positive,Medium,None,SIP
L00210,Neutral,Low,None,SIP
L00216,Positive,Medium,None,SIP
L00215,Neutral,Low,Timing,SIP
L00219,Neutral,Low,None,SIP
L00220,Neutral,Low,Pricing,SIP
L00218,Positive,Low,None,Unclear
L00221,Negative,Medium,Pricing,MF
L00223,Positive,High,None,SIP
L00225,Neutral,Low,None,AIF
L00222,Negative,High,Pricing,PMS
L00224,Neutral,High,None,MF
L00229,Negative,Low,Timing,MF
L00226,Neutral,Low,Competitor,SIP
L00227,Negative,Medium,Pricing,SIP
L00233,Positive,High,None,SIP
L00228,Negative,Low,Timing,SIP
L00231,Neutral,Medium,None,MF
L00232,Neutral,Low,None,SIP
L00230,Neutral,Medium,Competitor,MF
L00236,Positive,Low,None,SIP
L00235,Positive,High,None,MF
L00237,Positive,High,None,SIP
L00234,Neutral,Low,Timing,Unclear
L00239,Positive,High,None,SIP
L00241,Neutral,Low,Timing,SIP
L00238,Neutral,Low,Timing,SIP
L00240,Neutral,Low,None,Unclear
L00245,Positive,High,None,Unclear
L00243,Neutral,Low,None,AIF
L00244,Positive,Low,None,Unclear
L00246,Positive,Low,None,Unclear
L00248,Negative,High,Pricing,SIP
L00242,Positive,Medium,None,SIP
L00247,Positive,Low,None,SIP
L00253,Neutral,Medium,None,SIP
L00250,Neutral,Low,None,Unclear
L00249,Neutral,Low,None,SIP
L00252,Positive,High,None,SIP
L00251,Neutral,Low,Trust,AIF
L00254,Positive,High,None,SIP
L00256,Positive,Medium,None,SIP
L00255,Negative,High,Pricing,Unclear
L00258,Negative,Low,Pricing,Unclear
L00257,Neutral,Low,None,Unclear
L00261,Positive,High,None,SIP
L00260,Neutral,Medium,None,SIP
L00262,Neutral,Low,None,AIF
L00263,Neutral,Low,Timing,SIP
L00264,Neutral,Low,None,SIP
L00259,Positive,Medium,None,SIP
L00265,Neutral,Low,Pricing,SIP
L00271,Neutral,High,Competitor,MF
L00268,Neutral,Low,None,MF
L00266,Positive,Low,None,Unclear
L00269,Neutral,High,None,PMS
L00270,Neutral,Medium,Trust,SIP
L00267,Neutral,Medium,None,MF
L00272,Positive,Low,None,Unclear
L00273,Negative,High,Competitor,PMS
L00275,Neutral,High,Competitor,Unclear
L00274,Positive,Low,None,SIP
L00279,Neutral,Low,Trust,SIP
L00276,Positive,High,None,Unclear
L00277,Negative,Medium,Trust,AIF
L00278,Neutral,Low,Timing,SIP
L00280,Neutral,Low,Trust,SIP
L00283,Negative,Medium,Pricing,MF
L00281,Positive,Low,None,SIP
L00282,Neutral,Low,Trust,MF
L00284,Neutral,Medium,None,PMS
L00287,Neutral,Low,Timing,SIP
L00285,Neutral,Low,None,SIP
L00289,Neutral,Low,None,SIP
L00291,Negative,Medium,Pricing,AIF
L00290,Neutral,Medium,Competitor,SIP
L00286,Neutral,Low,None,SIP
L00288,Neutral,Low,Timing,Unclear
L00292,Positive,High,None,SIP
L00293,Positive,Low,None,PMS
L00294,Neutral,Low,None,SIP
L00296,Positive,High,None,SIP
L00295,Neutral,Low,Timing,PMS
L00298,Neutral,High,Competitor,PMS
L00297,Neutral,Low,None,MF
L00299,Neutral,Low,None,PMS
L00300,Neutral,Low,None,Unclear
L00301,Neutral,Low,None,AIF
L00305,Neutral,Low,None,AIF
L00302,Positive,High,None,SIP
L00306,Positive,Low,None,MF
L00304,Neutral,Low,Trust,SIP
L00303,Positive,Medium,None,SIP
L00307,Neutral,Low,Timing,SIP
L00310,Positive,Low,None,SIP
L00309,Neutral,High,None,PMS
L00311,Neutral,Low,None,SIP
L00312,Positive,Medium,None,AIF
L00314,Neutral,Low,None,SIP
L00313,Neutral,Low,None,SIP
L00315,Neutral,Low,Pricing,Unclear
L00316,Neutral,Low,Trust,MF
L00317,Neutral,Medium,Timing,Unclear
L00308,Neutral,Low,Trust,MF
L00320,Positive,High,None,MF
L00321,Negative,Low,Trust,SIP
L00319,Neutral,Medium,None,SIP
L00318,Neutral,Low,Timing,SIP
L00322,Neutral,Low,None,SIP
L00324,Neutral,Low,Timing,SIP
L00323,Neutral,Low,None,SIP
L00325,Neutral,Low,None,SIP
L00327,Positive,High,None,SIP
L00329,Neutral,Low,Trust,SIP
L00326,Neutral,Low,None,SIP
L00328,Positive,Medium,None,PMS
L00330,Positive,Low,None,MF
L00331,Positive,Low,None,Unclear
L00337,Neutral,Low,None,PMS
L00335,Positive,High,None,MF
L00336,Positive,High,None,Unclear
L00332,Neutral,Low,None,SIP
L00333,Neutral,Medium,None,SIP
L00339,Neutral,Medium,None,MF
L00334,Neutral,Medium,Trust,SIP
L00338,Positive,Low,None,Unclear
L00340,Neutral,Low,Timing,SIP
L00342,Neutral,Medium,None,Unclear
L00344,Positive,High,None,MF
L00343,Neutral,Low,None,AIF
L00341,Neutral,Medium,Timing,PMS
L00346,Neutral,High,None,PMS
L00345,Neutral,Low,Competitor,SIP
L00348,Neutral,Low,None,Unclear
L00353,Neutral,Low,None,Unclear
L00352,Neutral,Low,None,SIP
L00347,Neutral,Low,Trust,PMS
L00349,Neutral,Low,None,SIP
L00350,Neutral,Low,None,SIP
L00354,Neutral,Low,None,PMS
L00351,Neutral,Medium,Competitor,MF
L00356,Positive,Low,None,MF
L00355,Negative,Low,Competitor,MF
L00358,Negative,Low,Pricing,Unclear
L00357,Neutral,Low,None,SIP
L00360,Neutral,Medium,None,MF
L00359,Positive,High,None,MF
L00361,Positive,Low,None,SIP
L00364,Neutral,Low,Competitor,MF
L00363,Neutral,Medium,Timing,SIP
L00365,Neutral,Low,Timing,Unclear
L00366,Positive,Low,None,SIP
L00367,Neutral,Low,Trust,SIP
L00368,Neutral,Low,Timing,MF
L00362,Negative,Low,Timing,SIP
L00370,Positive,Low,None,SIP
L00369,Neutral,Low,None,MF
L00373,Neutral,Medium,None,PMS
L00372,Neutral,Medium,None,MF
L00374,Neutral,Low,Timing,AIF
L00371,Neutral,High,Competitor,SIP
L00376,Neutral,Low,None,SIP
L00377,Neutral,High,None,Unclear
L00375,Neutral,Medium,Timing,MF
L00379,Negative,Low,Timing,AIF
L00380,Positive,Low,None,SIP
L00378,Neutral,Low,None,MF
L00382,Neutral,Low,None,PMS
L00381,Neutral,Low,Pricing,Unclear
L00383,Positive,High,None,SIP
L00386,Negative,High,Timing,Unclear
L00384,Neutral,Medium,Competitor,SIP
L00387,Neutral,Low,Trust,MF
L00385,Positive,High,None,AIF
L00391,Positive,Low,None,Unclear
L00388,Neutral,Low,Trust,PMS
L00389,Neutral,Low,None,SIP
L00390,Negative,High,Competitor,MF
L00392,Neutral,High,Timing,MF
L00394,Neutral,Low,Timing,SIP
L00393,Negative,High,Competitor,SIP
L00395,Neutral,Low,Timing,SIP
L00398,Neutral,Medium,Timing,SIP
L00397,Positive,Low,None,SIP
L00396,Neutral,Low,Competitor,PMS
L00399,Neutral,Medium,Pricing,SIP
L00400,Negative,Low,Pricing,PMS
L00402,Neutral,Low,None,MF
L00401,Positive,Low,None,SIP
L00404,Neutral,Low,Timing,MF
L00406,Negative,Low,Trust,Unclear
L00403,Positive,Low,None,Unclear
L00405,Neutral,High,Timing,PMS
L00408,Neutral,Low,Competitor,SIP
L00410,Neutral,Low,None,SIP
L00407,Positive,Low,None,MF
L00409,Neutral,High,None,Unclear
L00412,Neutral,Medium,Pricing,SIP
L00414,Neutral,Low,Trust,MF
L00416,Neutral,Low,Timing,Unclear
L00411,Neutral,Low,Timing,SIP
L00413,Positive,High,None,MF
L00417,Neutral,Low,None,SIP
L00423,Positive,Low,None,MF
L00415,Neutral,Low,Trust,SIP
L00418,Positive,High,None,PMS
L00419,Positive,High,None,SIP
L00421,Positive,Low,None,PMS
L00424,Positive,High,None,SIP
L00420,Neutral,Low,None,Unclear
L00422,Neutral,Low,None,SIP
L00429,Neutral,Low,None,MF
L00426,Neutral,Low,Timing,PMS
L00431,Positive,Low,None,SIP
L00430,Neutral,Medium,None,AIF
L00428,Neutral,High,None,Unclear
L00432,Neutral,Low,Trust,MF
L00427,Neutral,High,Competitor,AIF
L00425,Neutral,Low,None,SIP
L00435,Neutral,Low,None,MF
L00436,Negative,Medium,Pricing,MF
L00437,Positive,High,None,MF
L00433,Neutral,Low,Timing,SIP
L00434,Neutral,Low,None,SIP
L00438,Neutral,Low,Competitor,SIP
L00439,Neutral,Low,None,Unclear
L00441,Neutral,Low,None,SIP
L00440,Neutral,Low,Pricing,SIP
L00442,Neutral,Low,Timing,SIP
L00445,Positive,High,None,SIP
L00443,Neutral,Low,None,Unclear
L00444,Neutral,Low,Timing,MF
L00448,Negative,Low,Pricing,PMS
L00450,Neutral,Low,Competitor,PMS
L00446,Negative,Low,Trust,Unclear
L00447,Neutral,Medium,Timing,MF
L00449,Positive,High,None,MF
L00453,Positive,High,None,SIP
L00456,Positive,High,None,MF
L00451,Negative,Low,Competitor,Unclear
L00454,Positive,High,None,SIP
L00452,Neutral,Low,None,MF
L00455,Positive,High,None,PMS
L00458,Neutral,Medium,Timing,SIP
L00457,Neutral,Medium,Trust,SIP
L00461,Positive,Low,None,SIP
L00462,Positive,Low,None,AIF
L00460,Neutral,Low,None,PMS
L00459,Neutral,Medium,Trust,SIP
L00466,Neutral,Medium,Timing,MF
L00464,Neutral,Medium,Pricing,PMS
L00465,Neutral,Low,None,PMS
L00463,Neutral,High,None,SIP
L00468,Positive,Medium,None,SIP
L00467,Neutral,Low,Pricing,Unclear
L00470,Neutral,Medium,Timing,SIP
L00469,Neutral,Low,None,PMS
L00471,Negative,Medium,Pricing,SIP
L00472,Neutral,Low,None,SIP
L00473,Positive,Low,None,SIP
L00474,Neutral,Medium,Competitor,AIF
L00475,Positive,High,None,PMS
L00476,Neutral,High,None,SIP
L00482,Neutral,Medium,Trust,SIP
L00481,Positive,High,None,MF
L00477,Neutral,Low,None,SIP
L00478,Neutral,High,None,SIP
L00480,Positive,Low,None,SIP
L00479,Neutral,Medium,None,Unclear
L00484,Negative,Medium,Pricing,MF
L00483,Neutral,Medium,Timing,SIP
L00486,Neutral,Medium,Timing,SIP
L00485,Positive,Low,None,AIF
L00488,Neutral,Medium,Competitor,PMS
L00489,Neutral,Low,Timing,AIF
L00487,Neutral,Low,None,AIF
L00492,Neutral,Low,Timing,PMS
L00490,Neutral,Low,None,SIP
L00493,Neutral,High,Timing,SIP
L00491,Neutral,Low,Trust,SIP
L00495,Neutral,Low,Competitor,SIP
L00496,Negative,High,Competitor,MF
L00500,Neutral,Low,None,PMS
L00499,Positive,Medium,None,SIP
L00494,Neutral,Low,Competitor,MF
L00497,Positive,High,None,Unclear
L00498,Neutral,Low,Timing,SIP
